datetime;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;casual;registered;count
2012-11-11 08:00:00;4;0;0.0;1.0;13.12;16.665;87;7.0015;32.0;87.0;119
2012-12-02 04:00:00;4;0;0.0;2.0;10.66;15.15;93;0.0;1.0;6.0;7
2012-07-11 03:00:00;3;0;1.0;1.0;26.24;28.79;89;8.9981;0.0;5.0;5
2011-02-11 23:00:00;1;0;1.0;1.0;7.38;12.12;69;0.0;5.0;48.0;53
2011-05-05 16:00:00;2;0;1.0;1.0;23.78;27.275;24;27.9993;36.0;233.0;269
2012-08-12 11:00:00;3;0;0.0;1.0;30.34;33.335;42;11.0014;167.0;282.0;449
2011-09-02 05:00:00;3;0;1.0;2.0;24.6;28.03;83;8.9981;0.0;20.0;20
2012-01-01 11:00:00;1;0;0.0;1.0;13.94;16.665;76;8.9981;40.0;98.0;138
2012-05-09 09:00:00;2;0;1.0;2.0;24.6;28.03;83;0.0;40.0;285.0;325
2012-03-14 14:00:00;1;0;3.0;1.0;28.7;31.82;23;22.0028;61.0;163.0;224
2012-09-13 21:00:00;3;0;1.0;1.0;25.42;30.305;65;7.0015;26.0;291.0;317
2011-12-15 10:00:00;;0;1.0;2.0;16.4;20.455;58;19.9995;4.0;105.0;109
2012-01-13 11:00:00;1;0;1.0;1.0;9.84;9.09;38;40.9973;12.0;102.0;114
2011-12-19 03:00:00;4;0;1.0;1.0;6.56;9.85;86;6.0032;0.0;3.0;3
2012-07-08 11:00:00;3;0;0.0;1.0;37.72;44.695;42;19.9995;120.0;269.0;389
2012-11-08 02:00:00;4;0;1.0;2.0;12.3;14.395;49;15.0013;1.0;5.0;6
2012-12-06 01:00:00;4;0;1.0;1.0;10.66;12.12;48;19.0012;0.0;16.0;16
2011-03-01 10:00:00;1;0;1.0;1.0;9.84;10.605;52;19.0012;13.0;55.0;68
2011-06-17 12:00:00;2;0;1.0;1.0;28.7;32.575;65;16.9979;49.0;194.0;243
2011-04-12 01:00:00;2;0;1.0;2.0;25.42;31.06;50;6.0032;6.0;7.0;13
2011-10-12 17:00:00;4;0;1.0;3.0;22.14;25.76;94;15.0013;16.0;235.0;251
2012-01-06 23:00:00;1;0;1.0;1.0;14.76;18.94;50;0.0;13.0;88.0;101
2011-08-04 09:00:00;3;0;1.0;1.0;29.52;34.85;74;22.0028;25.0;162.0;187
2011-10-04 08:00:00;;0;1.0;1.0;18.04;21.97;77;15.0013;28.0;372.0;400
2012-01-08 04:00:00;1;0;0.0;1.0;13.12;15.15;49;16.9979;2.0;4.0;6
2011-02-13 00:00:00;1;0;0.0;1.0;8.2;11.365;64;7.0015;5.0;34.0;39
2011-06-04 09:00:00;2;0;0.0;1.0;25.42;31.06;43;8.9981;55.0;169.0;224
2011-07-08 13:00:00;3;0;1.0;2.0;31.98;37.88;66;19.0012;54.0;175.0;229
2011-06-12 23:00:00;2;0;0.0;1.0;26.24;29.545;78;12.998;33.0;74.0;107
2012-11-16 02:00:00;4;0;1.0;2.0;12.3;15.15;70;11.0014;0.0;9.0;9
2012-07-19 01:00:00;3;0;1.0;1.0;30.34;34.85;66;6.0032;6.0;19.0;25
2011-03-01 00:00:00;1;0;1.0;1.0;12.3;13.635;70;31.0009;0.0;7.0;7
2011-05-08 09:00:00;2;0;0.0;1.0;22.96;26.515;52;15.0013;48.0;112.0;160
2011-06-09 04:00:00;2;0;1.0;2.0;29.52;34.85;79;6.0032;2.0;4.0;6
2011-05-07 11:00:00;2;0;;1.0;22.96;26.515;43;0.0;132.0;215.0;347
2011-02-19 23:00:00;1;0;0.0;1.0;11.48;12.12;33;30.0026;4.0;25.0;29
2011-10-11 13:00:00;4;0;1.0;2.0;24.6;29.545;73;12.998;42.0;138.0;180
2012-08-07 03:00:00;3;0;1.0;1.0;28.7;33.335;84;0.0;0.0;6.0;6
2011-08-05 11:00:00;3;0;1.0;2.0;31.16;34.85;52;16.9979;44.0;103.0;147
2012-07-13 14:00:00;3;0;1.0;2.0;32.8;35.605;38;0.0;120.0;249.0;369
2012-09-14 04:00:00;3;0;1.0;1.0;22.14;25.76;77;0.0;1.0;11.0;12
2011-02-05 14:00:00;1;0;0.0;3.0;9.02;13.635;100;0.0;5.0;50.0;55
2012-10-08 08:00:00;4;1;0.0;2.0;14.76;17.425;71;15.0013;23.0;374.0;397
2012-04-09 22:00:00;2;0;1.0;2.0;18.86;22.725;41;32.9975;6.0;102.0;108
2012-09-13 11:00:00;3;0;1.0;1.0;27.06;31.06;50;11.0014;71.0;183.0;254
2012-04-01 10:00:00;2;0;0.0;2.0;16.4;20.455;71;7.0015;132.0;228.0;360
2012-12-07 11:00:00;4;0;1.0;2.0;13.12;15.91;76;12.998;20.0;183.0;203
2011-07-03 15:00:00;3;0;0.0;1.0;34.44;40.15;53;19.9995;194.0;182.0;376
2011-10-11 16:00:00;4;0;1.0;2.0;24.6;29.545;73;11.0014;63.0;257.0;320
2011-11-05 07:00:00;4;0;;1.0;10.66;12.12;60;19.0012;3.0;31.0;34
2011-07-10 13:00:00;3;0;0.0;1.0;32.8;36.365;46;19.9995;139.0;228.0;367
2011-07-04 17:00:00;3;1;0.0;1.0;32.8;36.365;46;0.0;240.0;196.0;436
